country,var,code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
AT,I_Soft_DB,16-18,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,36.6,40.8,53.2,60.4,63.9,78.3,90,90.6,92.9,57,74.6,66.2,63.9,68.2,72.5,88.8,84.2,95.6,84.2,85.3
AT,I_Soft_DB,19,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,9.9,11,14.3,16.1,16.9,15.6,14,11.9,12.1,10.1,23,9.6,19,20.1,21.1,25.5,11.1,16.7,13.6,13.8
AT,I_Soft_DB,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,21.5,27.3,29.8,30.5,35.5,38.4,36.3,37.2,29.1,38.9,31.7,60.6,62,63.9,75.5,38.8,70.6,65.8,66.6
AT,I_Soft_DB,22-23,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,37.1,41.6,53.3,61.9,67.4,79.1,86,83.3,84.9,70.7,81,63.3,75.2,81.3,86,105.6,79.3,148.5,133.1,134.8
AT,I_Soft_DB,24-25,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,54.6,57.9,70.8,78.6,82.6,100.8,113.8,113.6,116,92.7,105.9,110.1,105.6,113.2,119.2,145.5,122.9,163.8,144.2,146.1
AT,I_Soft_DB,26-27,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,55.7,62.8,78.2,93.4,104.9,124.4,136.6,136.5,138.7,118.1,133,107.6,120.8,133.2,142.2,176.5,137.9,194.3,163.4,165.6
AT,I_Soft_DB,28,,,,,,,,,,,,,,,,,,,,,,,,,,49,53,59.5,74.8,88.1,97.4,114.9,124.8,121.9,124,105.9,126.7,117.6,114.1,124.6,132.3,163.3,154.5,197.1,171,173.2
AT,I_Soft_DB,29-30,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,26.2,30,37.9,46.1,52.7,63,69.5,69.4,70.6,69.4,58.2,55.8,67.3,73.5,78.1,96.5,81.6,95.5,79.7,80.8
AT,I_Soft_DB,31-33,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,32.1,35.4,44,50.8,55.3,64.4,69.1,66.8,68,56.9,68.9,63.6,62.4,68.3,72.6,89.7,80.9,103.2,88.6,89.7
AT,I_Soft_DB,D-E,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,36.7,40.5,52.6,59.6,63.4,81.9,98.7,102.5,105.2,81.3,74.6,77.7,96,99.7,103.4,123.6,128.1,222.1,212.5,215.1
AT,I_Soft_DB,F,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,74.2,82.2,101.1,118.6,131.5,155,170.6,172.6,175.6,131.8,144.4,121.9,118.5,134.8,145.9,184.4,155.6,212.5,172.9,175.2
AT,I_Soft_DB,G,,,,,,,,,,,,,,,,,,,,,,,,,,238.7,256.2,285.4,356.9,416.9,458.2,532.2,568.7,548.4,557.7,538.5,588.4,626.4,746.3,753.4,776.6,987.4,860,878.9,861.7,873.2
AT,I_Soft_DB,45,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,18,20.5,27.4,31.8,34.2,40.9,45.1,43,44.1,33.4,34.4,37.3,54,54,55.2,67.9,41.9,49,48.2,48.9
AT,I_Soft_DB,46,,,,,,,,,,,,,,,,,,,,,,,,,,134.9,144.4,160,200.5,231.8,252,295,317.9,306.9,312.4,301.6,355.1,390.7,437.4,440.3,452.8,569.8,491.7,499.3,490.8,497.3
AT,I_Soft_DB,47,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,93.9,104.9,129,153.3,172.1,196.3,205.7,198.5,201.2,203.6,199,198.4,254.9,259.2,268.6,349.8,326.5,330.6,322.6,327
AT,I_Soft_DB,H,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,53.1,60.9,83.7,104.8,124.2,110.8,119.7,119,121.5,192.1,167.7,237.3,265.1,229.6,255.7,270.4,309.4,275.6,261.3,264.9
AT,I_Soft_DB,49-52,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,50.5,57.8,80,99.9,118.2,104,112.4,111.9,114.3,183.5,148.5,213.2,251.2,215.6,241.4,252.3,283.3,248.1,234,237.2
AT,I_Soft_DB,53,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.7,3.1,3.8,4.9,5.9,6.8,7.3,7.2,7.3,8.6,19.2,24.2,13.9,14,14.4,18.3,26,27.5,27.3,27.7
AT,I_Soft_DB,I,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,11.2,13.2,18.3,21.9,24.3,27.3,28.3,25.5,26.1,23.9,24.2,29.4,32.9,32.9,33.7,41.7,43.4,39.3,38.9,39.4
AT,I_Soft_DB,J,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,112.9,138.1,223.6,352.1,584.4,624.6,655,601,619.1,589.8,700.2,725.6,665.8,673.7,684,791,842,1003.1,1006.8,1019.9
AT,I_Soft_DB,58-60,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,22.2,22.7,28.4,32.3,34.6,48,63.9,75.4,77.4,69.4,62.4,50.1,77.1,75.1,75.9,76.2,124.7,122.8,122.4,124
